childid,age,Total_Duration_mins,Average_Duration_mins
3680,3,3.2000,0.02388060
2300,6,0.1333,0.01666667
2134,5,1.3667,0.04408602
1871,5,0.2667,0.05333333
3358,3,6.3000,0.03264249
2201,3,1.8500,0.04868421
2535,16,0.2500,0.03571429
453,6,1.0333,0.04492754
1315,6,0.4000,0.02222222
3041,16,0.0333,0.03333333
2379,0,0.5500,0.01571429
3430,4,0.0500,0.02500000
1572,6,2.2500,0.02472527
3919,4,0.7500,0.05000000
2729,28,8.6167,0.01369899
220,6,0.0333,0.03333333
1760,4,0.3333,0.03030303
2651,3,0.9333,0.01314554
2340,1,0.9167,0.04583333
1433,6,0.3833,0.02948718
3146,5,0.1667,0.01666667
1458,4,0.1667,0.03333333
1582,3,2.5167,0.06990741
2874,3,1.2167,0.04345238
816,6,0.7333,0.02222222
1254,6,0.1667,0.02083333
3572,3,0.4000,0.05000000
1539,11,6.1000,0.02089041
3127,5,0.2167,0.02407407
1781,5,0.0833,0.04166667
3484,5,1.1500,0.04259259
1927,2,0.4500,0.03461538
1398,4,2.4500,0.02816092
565,4,1.1667,0.02651515
295,3,0.3667,0.07333333
1424,2,0.1167,0.02916667
2904,4,2.3333,0.03111111
2714,4,0.3000,0.03333333
1563,5,0.4833,0.01421569
3322,8,0.0333,0.01666667
2242,6,0.8500,0.01666667
2611,7,0.3500,0.01842105
2969,16,0.1000,0.01111111
2485,3,3.4833,0.02809140
2985,4,0.6333,0.10555556
1598,5,0.3833,0.03194444
3066,16,0.1833,0.02619048
2325,1,216.7667,8.33717949
1819,3,2.0333,0.02904762
1397,2,0.1000,0.03333333
1294,8,0.2667,0.01904762
3249,2,0.3167,0.03166667
439,7,0.0833,0.02777778
440,10,0.0500,0.02500000
1190,6,0.0333,0.03333333
3005,4,0.1167,0.02916667
2539,16,0.2833,0.02575758
1804,3,1.5833,0.05107527
3931,16,0.1667,0.03333333
2762,16,0.0500,0.01000000
413,9,0.1500,0.02142857
1153,5,1.3833,0.03458333
1428,5,1.6000,0.03265306
1130,6,0.1500,0.07500000
654,5,17.3333,1.08333333
893,1,33.6833,0.09707012
1266,9,0.7000,0.02187500
2036,3,85.2833,1.85398551
2279,4,0.9333,0.02393162
2821,3,0.7833,0.02373737
2883,4,0.0333,0.01666667
2451,6,1.4333,0.04215686
3663,2,183.2667,36.65333333
3440,6,0.3333,0.02222222
2777,3,0.5500,0.01774194
3797,4,0.5000,0.01785714
1352,7,44.2167,0.05668803
3339,6,1.4167,0.02951389
2924,4,0.6500,0.03823529
2540,4,0.1167,0.02333333
1173,3,0.4333,0.05416667
1761,4,1.2000,0.03157895
1723,8,0.5667,0.05151515
2185,5,0.0333,0.03333333
894,4,4.3833,0.03153477
1405,6,0.9500,0.01696429
364,11,189.1833,3.63814103
738,5,0.2833,0.01666667
3135,3,2.6333,0.03708920
1523,6,0.5833,0.01767677
3136,1,0.0500,0.02500000
1988,6,0.1333,0.06666667
1787,6,0.1167,0.02333333
3224,2,0.3167,0.03518519
1362,4,0.6500,0.04333333
1128,6,8.1167,0.06291990
3351,5,0.0333,0.03333333
673,6,0.2833,0.02833333
1529,5,0.1000,0.02500000
1461,4,2.6833,0.02048346
516,4,1.6500,0.03300000
2543,4,9.5167,0.05287037
3051,16,0.1000,0.05000000
1198,6,0.1167,0.02916667
2986,20,0.0333,0.03333333
387,6,0.0333,0.03333333
1040,6,0.0667,0.03333333
1168,4,1.9667,0.06145833
3920,4,1.3000,0.04333333
2196,7,0.2833,0.01666667
3573,5,0.5000,0.04166667
1870,5,0.1500,0.02500000
2294,0,2.7500,0.34375000
2845,5,0.3167,0.01759259
1746,7,0.6667,0.02083333
2944,4,0.9000,0.02093023
1774,8,1.8167,0.01798680
3038,16,0.2000,0.04000000
1143,5,0.4667,0.02916667
1971,5,9.3500,0.01579392
441,4,1.0333,0.03827160
365,5,1.0667,0.01871345
1038,4,0.0333,0.03333333
2010,16,0.3167,0.00620915
1892,17,1.5000,0.02238806
2273,3,1.0167,0.02163121
3582,5,0.1833,0.01833333
2704,7,7.5000,0.01724138
1115,4,0.3667,0.02820513
3214,3,0.2167,0.04333333
3245,16,30.1667,2.32051282
2008,6,0.0333,0.03333333
2795,16,0.4333,0.01444444
1417,5,115.5333,0.78063063
3910,9,0.5333,0.02222222
3239,6,0.2333,0.02916667
2977,5,0.0333,0.03333333
323,6,0.0833,0.01666667
3016,16,0.0333,0.03333333
2139,5,0.1500,0.03750000
204,4,45.2333,0.13149225
3382,5,70.7667,1.76916667
3151,3,53.5500,3.82500000
3240,3,0.7167,0.02107843
2931,7,0.1167,0.00972222
1337,6,0.9500,0.01583333
1907,6,0.0833,0.02777778
451,1,0.7167,0.04777778
596,5,0.9667,0.03118280
324,7,0.0333,0.03333333
1535,4,1.7667,0.02208333
2896,2,0.2833,0.07083333
3444,6,0.7833,0.01424242
2193,0,0.7333,0.01746032
297,5,0.0500,0.02500000
1853,6,0.4833,0.03020833
676,18,0.5167,0.01565657
1321,7,0.5000,0.02500000
2926,7,0.3167,0.02638889
3548,3,0.3500,0.07000000
3694,16,0.2667,0.03809524
2219,13,1.1167,0.02278912
1835,5,0.5500,0.02894737
2144,5,1.6833,0.01618590
1735,7,0.3000,0.02142857
1730,7,0.4667,0.01228070
3878,3,0.0333,0.03333333
1219,6,0.2833,0.02575758
425,5,0.4667,0.02592593
1300,5,0.0833,0.01388889
2308,11,0.4333,0.00984848
2581,5,2.0167,0.02880952
2282,4,0.3333,0.03333333
2601,4,0.9167,0.03525641
2277,4,0.8167,0.03402778
3155,5,0.7167,0.01524823
3047,16,0.1500,0.01666667
2170,6,2.3833,0.02186544
2475,0,0.8833,0.01497175
1515,7,0.1833,0.01833333
3010,4,0.3833,0.01825397
1435,6,0.2000,0.01666667
2751,4,0.3667,0.01833333
1802,6,0.0667,0.02222222
2647,5,4.2667,0.03555556
916,4,132.3833,0.60449011
3476,4,1.6000,0.02253521
3259,13,0.3667,0.02444444
1386,4,0.5667,0.02361111
2006,4,23.3000,1.01304348
2461,7,0.9333,0.02222222
3895,5,0.5167,0.03974359
474,4,0.0833,0.02777778
445,3,0.0667,0.03333333
3152,6,1.3833,0.01646825
1839,6,0.2167,0.01969697
1917,5,0.8833,0.02523810
3822,5,0.4167,0.05952381
897,6,0.5333,0.02133333
206,5,0.5667,0.02982456
1189,6,0.0500,0.02500000
3767,5,0.5333,0.03555556
3319,5,0.5667,0.03541667
3627,4,1.1500,0.02948718
264,3,1.3333,0.03100775
1439,4,5.6500,0.02615741
370,5,0.0667,0.02222222
1797,3,1.0833,0.03494624
1512,3,0.5167,0.05740741
3711,5,0.2667,0.01777778
659,5,0.0833,0.01666667
3607,9,0.8167,0.02207207
1867,7,0.1167,0.02916667
2347,3,2.5500,0.02179487
262,5,1.4500,0.03815789
3075,16,0.4833,0.01611111
733,5,0.0167,0.01666667
2697,16,0.4000,0.02500000
